DialogueID;VoiceID;Page;Clip_L1;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;7;ElevenLabs/TextToSpeech/Bella/fc4ae420-61fd-951f-390b-5302e57b8142.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;8;ElevenLabs/TextToSpeech/Bella/5eaa63e3-3005-fc0a-deb1-47f46f9f099a.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;9;ElevenLabs/TextToSpeech/Bella/329de4b0-c496-2e39-67f4-5e9271e6730a.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;10;ElevenLabs/TextToSpeech/Bella/c6f9895f-ecb8-fefb-ba7e-10b84a5abe99.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;11;ElevenLabs/TextToSpeech/Bella/83450869-f9c0-6d4e-6e26-5e9ce6d276e8.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;12;ElevenLabs/TextToSpeech/Bella/e1e3dc24-d100-9b4c-0c70-0cb2f241d761.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;13;ElevenLabs/TextToSpeech/Bella/93a0a1d6-7638-f35a-fd0f-e96e68002e32.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;14;ElevenLabs/TextToSpeech/Bella/a714c350-8728-ebdf-3209-4c8209f2ac50.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;15;ElevenLabs/TextToSpeech/Bella/79d40ea6-96fa-276e-3c36-214b854fd465.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;16;ElevenLabs/TextToSpeech/Bella/53f892d7-a51b-1635-5774-f9041bbc3477.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;17;ElevenLabs/TextToSpeech/Bella/342d642f-9db6-c45a-506d-a16e113d5a12.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;18;ElevenLabs/TextToSpeech/Bella/57931621-5b43-6852-5cc3-4b0f3100101d.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;19;ElevenLabs/TextToSpeech/Bella/dd1f2323-f750-e7d1-e663-9723c548caee.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;20;ElevenLabs/TextToSpeech/Bella/af238b4d-1c67-9a2e-f79d-cb5a3db50762.mp3;
DID_Lusha_Story2_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/4c18b5d7-f0c5-562e-e2b1-b0839c52a1e1.mp3;
DID_Lusha_Resume_Dialogue;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/0ad0862e-37c2-acd2-c0c2-a3e4a01760f2.mp3;
